dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1,sampling_seconds,train_after,rank
cleveland,knn,addition_objective_only,0.11057232351081277,0.05628571428571428,0.3326111471861472,0.3145568469955652,0.00782874200725928,133.0,4.0
cleveland,knn,gpmr_full,0.1332386765553381,0.05623376623376623,0.34348430735930735,0.319352300751347,0.00714834600687027,133.0,2.0
cleveland,knn,no_capacity,0.12981815456778473,0.05527272727272727,0.33821287878787876,0.3139409037093385,0.007068659998476505,133.0,3.0
cleveland,knn,removal_objective_only,0.14271707631207983,0.06311688311688311,0.35691060606060604,0.32756883770568046,0.0076427380135282875,133.0,1.0
cleveland,knn,uniform_mass,0.08515255408715933,0.038103896103896105,0.33604945887445886,0.3086406114361495,0.007980272001586854,133.0,5.0
cleveland,rf,addition_objective_only,0.05984925998085984,0.023662337662337666,0.31764642857142855,0.30672141725215285,0.00782874200725928,133.0,5.0
cleveland,rf,gpmr_full,0.08292533585980237,0.03922077922077922,0.33763658008658004,0.32235295620130633,0.00714834600687027,133.0,3.0
cleveland,rf,no_capacity,0.08799914104547671,0.045636363636363635,0.33072305194805196,0.31897471804497424,0.007068659998476505,133.0,2.0
cleveland,rf,removal_objective_only,0.12058274342731147,0.06667532467532468,0.3403242424242424,0.32782116282748236,0.0076427380135282875,133.0,1.0
cleveland,rf,uniform_mass,0.06768529979248883,0.031168831168831165,0.3238595238095238,0.3100137248763313,0.007980272001586854,133.0,4.0
contraceptive,cart,addition_objective_only,0.4564118871088272,0.3865736001989946,0.46244242536730207,0.45895311693818447,0.024812768001575024,1153.8,4.0
contraceptive,cart,gpmr_full,0.47084744913847404,0.4115894872969145,0.4749148170174204,0.4702537860811084,0.02435377799673006,1153.8,1.0
contraceptive,cart,no_capacity,0.46621247697955576,0.40707518157197226,0.4702959953991037,0.46657949157325634,0.023060497993137686,1153.8,3.0
contraceptive,cart,removal_objective_only,0.46811080440968184,0.41148998678129156,0.4719278674463584,0.4676105529590437,0.024805093985050916,1153.8,2.0
contraceptive,cart,uniform_mass,0.4533456650405831,0.38384458243344854,0.45901180321937685,0.45570620441212634,0.025126364000607283,1153.8,5.0
contraceptive,knn,addition_objective_only,0.45267898911659754,0.35539954493124115,0.46248438441723094,0.44506556189290114,0.024812768001575024,1153.8,5.0
contraceptive,knn,gpmr_full,0.46634890533178364,0.3858519848068677,0.4741399109300614,0.4558178212081156,0.02435377799673006,1153.8,2.0
contraceptive,knn,no_capacity,0.4659278860950835,0.38258618657819116,0.47403187804638436,0.45580429906202136,0.023060497993137686,1153.8,3.0
contraceptive,knn,removal_objective_only,0.4740517414190631,0.4014105318502806,0.4803036655826618,0.46409671603980646,0.024805093985050916,1153.8,1.0
contraceptive,knn,uniform_mass,0.45408646110499284,0.36331210448286405,0.4626855688174781,0.4464023904207213,0.025126364000607283,1153.8,4.0
contraceptive,rf,addition_objective_only,0.5003348709121153,0.4312745214274405,0.5053858066158142,0.5032595432811943,0.024812768001575024,1153.8,5.0
contraceptive,rf,gpmr_full,0.5125315404369745,0.4509536757754834,0.5162059320337878,0.512431044078823,0.02435377799673006,1153.8,2.0
