dataset,classifier,method,gmean,gmean_std,worst_recall,balanced_accuracy,macro_f1,rank
dry-bean,knn,gmm_sampling,0.9297982446398804,0.0047810583085003,0.8277678109366914,0.9311932070994356,0.9317264759894606,9.0
dry-bean,knn,gpmr_v3,0.9320453191502956,0.0046925513279409,0.8822861230247685,0.9327735894299256,0.9313203673925622,5.0
dry-bean,knn,kde_reconstructed,0.9321829714752808,0.0046058174373432,0.8657600377228301,0.9330529503050478,0.9345379082498376,4.0
dry-bean,knn,mc_ccr,0.9264980403593704,0.0036824106444753,0.8413113104479328,0.9276781390147112,0.9252849313963504,12.0
dry-bean,knn,mdo,0.9299240272585292,0.004253113049132,0.8608157236501639,0.9308433395140836,0.9312277227152852,8.0
dry-bean,knn,none,0.9323131724696024,0.0045858715895075,0.8657600377228301,0.933183485881418,0.9346983836860236,3.0
dry-bean,knn,ros,0.9257464464774986,0.0040192911858396,0.8610217340387504,0.9267042960132512,0.9252244877512324,13.0
dry-bean,knn,rus,0.9271657029418148,0.0043017218883779,0.8675802702792741,0.928100053625278,0.9275092031741016,11.0
dry-bean,knn,smote,0.92906907734574,0.0047275816878803,0.866634751743709,0.929960538076522,0.9290609084040508,10.0
dry-bean,knn,soup,0.9310803664237124,0.0048809605531032,0.8706927416179028,0.9320210289078658,0.9293454345138066,6.0
dry-bean,rf,allknn,0.9283638188767714,0.0041648696881932,0.8651246030531949,0.92928133435707,0.9311597921670371,13.0
dry-bean,rf,borderline_smote,0.9320576961890248,0.0044934423820071,0.8765218309025865,0.9328974586747945,0.9311161446000192,10.0
dry-bean,rf,global_cs,0.934399875923464,0.0039257529030497,0.8811770375972615,0.9350747894638288,0.935109440744062,2.0
dry-bean,rf,gmm_sampling,0.9287273294162472,0.0046073809210748,0.8076228365246392,0.930507878290993,0.9314241656166544,12.0
dry-bean,rf,gpmr_v3,0.9312988832428486,0.0039274163283227,0.872932384376472,0.9321144871675252,0.9313136143869118,11.0
dry-bean,rf,kde_reconstructed,0.9345648191625928,0.0038535546292637,0.864267293427635,0.935428381291474,0.9364597230680688,1.0
dry-bean,rf,mc_ccr,0.9335879841255283,0.0041303089688666,0.8569422402392042,0.9345066246304328,0.9349219981074456,7.0
dry-bean,rf,mdo,0.9339645388056634,0.0039331688091923,0.8594837128399747,0.9348545767785654,0.9351603969248434,4.0
dry-bean,rf,none,0.932910158824884,0.0041134153719645,0.8635047582082686,0.933742786378497,0.9352630074172404,9.0
dry-bean,rf,ros,0.9336596444517552,0.0042608322455265,0.8691749538635795,0.9344367997933116,0.935220615287681,6.0
dry-bean,rf,rus,0.9280430060157042,0.0040804237149366,0.8666465954169241,0.9289036998739486,0.928134963056302,14.0
dry-bean,rf,smote,0.9340334888503864,0.0043857516986159,0.8715230793307751,0.9347842754445788,0.9349905078548216,3.0
dry-bean,rf,soup,0.9260544376416476,0.0046124417281307,0.8204109884422978,0.9276018229036432,0.92495338677242,15.0
flare,cart,allknn,0.3301566254573595,0.2063335236631823,0.1006620718462823,0.5734851994193864,0.5698882889660266,13.0
flare,cart,borderline_smote,0.3846711483914333,0.2113569749383799,0.1228435672514619,0.6005479300198718,0.5943738624521582,9.0
flare,cart,global_cs,0.5145496430529309,0.1255878054121127,0.2345554933432873,0.6213798067387183,0.6039421977305862,4.0
flare,cart,gmm_sampling,0.4066375530098728,0.2234363576256853,0.1619984135871593,0.6121433617447666,0.6032771516791379,8.0
flare,cart,gpmr_v3,0.4398464272652054,0.1864797392626343,0.1698366927958193,0.6109753320920434,0.5978709565892101,6.0
flare,cart,kde_reconstructed,0.3031271397271107,0.2523673925371294,0.1017105263157894,0.5999655561772571,0.5971491252971988,15.0
flare,cart,mc_ccr,0.4159617108287742,0.1909067488230871,0.146629805897723,0.6082305312085051,0.5974372061519228,7.0
flare,cart,mdo,0.3503698416540629,0.2360286226988179,0.1198391812865497,0.6024250535388513,0.6004080765572418,11.0
flare,cart,none,0.3514711556413564,0.2355886566159065,0.1194590643274853,0.6042915669552749,0.6022609636816264,10.0
flare,cart,ros,0.5202603105336235,0.1006183168812975,0.2371886275973621,0.6197218648604094,0.6027090438633197,2.0
flare,cart,rus,0.5159914136557521,0.0951871795480008,0.2233888577827547,0.6144588343354742,0.5910264173503587,3.0
flare,cart,smote,0.3214026773802873,0.2468968050740733,0.1156871345029239,0.5988445918735273,0.5915690047318717,14.0
flare,cart,soup,0.5316696156700811,0.128124813036477,0.2506592945128779,0.6259515504535224,0.6043060852717906,1.0
flare,knn,allknn,0.2470340199917096,0.2177211671422668,0.0603801169590643,0.5590959972770735,0.5515578844233735,14.0
flare,knn,borderline_smote,0.4799537770012553,0.1685744527067319,0.2142470760233918,0.617992907231033,0.6081705719459611,7.0
flare,knn,global_cs,0.510976029694138,0.1387307029067147,0.2301629961428393,0.6190971815082229,0.5980900478612567,3.0
flare,knn,gmm_sampling,0.4737368912419011,0.156290674078555,0.196426838372527,0.6080512259405978,0.6021549776359859,8.0
flare,knn,gpmr_v3,0.5521523906924091,0.0530398998685526,0.2356431193231305,0.6359740180611484,0.6112581061072064,1.0
flare,knn,kde_reconstructed,0.3636977639533765,0.22360642753135,0.1168567251461988,0.6018896880679243,0.6011561017493157,13.0
flare,knn,mc_ccr,0.4988769698847725,0.1546190561388927,0.2464150180415577,0.6074124789104662,0.590709388736086,5.0
flare,knn,mdo,0.3693308232988152,0.1937654328560538,0.1066228070175438,0.5935334022005959,0.5913932122938157,12.0
flare,knn,none,0.1890652200103554,0.2282947219657167,0.0537134502923976,0.5833455137442304,0.5782696709129038,15.0
flare,knn,ros,0.4420046598611337,0.2003618949528162,0.181125730994152,0.6133889700863211,0.6066542462311242,10.0
flare,knn,rus,0.4649076050466219,0.1486831085328629,0.1759179420181659,0.6084935636987135,0.583111949101347,9.0
flare,knn,smote,0.4906084184719972,0.1536291916830308,0.2168137986810999,0.6170725897957393,0.6084382968847176,6.0
flare,knn,soup,0.5431670501214466,0.051009589861992,0.2498796636982526,0.620285299719999,0.5893284819954182,2.0
flare,rf,allknn,0.1731961683712036,0.2175871240470206,0.0432017543859648,0.5640158212382417,0.5608670362100429,15.0
