dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1
dry-bean,rf,gpmr_full,0.9313567639946239,0.8730082857047453,0.9321717269660575,0.9313615786837078
dry-bean,rf,within_class_mass_permutation,0.9327427685430478,0.8721326246954733,0.9335487230226266,0.9331251829138354
flare,cart,gpmr_full,0.4398464272652054,0.1698366927958193,0.6109753320920434,0.5978709565892101
flare,cart,within_class_mass_permutation,0.3670531006822651,0.12139168844096054,0.6027900719662216,0.5925063350967563
flare,knn,gpmr_full,0.5521523906924091,0.2356431193231305,0.6359740180611484,0.6112581061072064
flare,knn,within_class_mass_permutation,0.519248704734753,0.2382201070051014,0.6317255056146965,0.6144592673315517
flare,rf,gpmr_full,0.51088286544294,0.21286067562523328,0.6221145058104671,0.6089879016500377
flare,rf,within_class_mass_permutation,0.47094146034310597,0.17424023267388328,0.6194164491274434,0.6088317358885408
hayes-roth,cart,gpmr_full,0.823774922226785,0.6732051282051281,0.8377655677655678,0.8319574846106329
hayes-roth,cart,within_class_mass_permutation,0.845588133276259,0.715,0.8574358974358975,0.8557090784951644
hayes-roth,knn,gpmr_full,0.5364830496036638,0.37256410256410255,0.5701221001221001,0.5724894316832801
hayes-roth,knn,within_class_mass_permutation,0.4786873887080184,0.3312820512820513,0.5143589743589744,0.5288898668192487
hayes-roth,rf,gpmr_full,0.8173813322429895,0.6617948717948718,0.8332478632478633,0.8246660424938891
hayes-roth,rf,within_class_mass_permutation,0.8306617410911472,0.6898717948717948,0.8441025641025641,0.841737140389526
led7digit,cart,gpmr_full,0.6813041283449864,0.41097979797979795,0.7038566378066378,0.6971844270399029
led7digit,cart,within_class_mass_permutation,0.6801997141829618,0.40938383838383835,0.703451875901876,0.6961505973120511
led7digit,knn,gpmr_full,0.6769727911924062,0.4243737373737374,0.6989643578643578,0.6918951700798854
led7digit,knn,within_class_mass_permutation,0.6641948999519012,0.3923232323232323,0.6894735209235209,0.6820286971370639
led7digit,rf,gpmr_full,0.6838311515085613,0.418959595959596,0.7057205627705627,0.700993340913054
led7digit,rf,within_class_mass_permutation,0.6864322726697147,0.4235454545454545,0.7080101010101011,0.7033356376472943
pageblocks-full,cart,gpmr_full,0.9066067365321855,0.7888487860551571,0.9103218562114941,0.7576134354778847
pageblocks-full,cart,within_class_mass_permutation,0.8996477316839426,0.7871787306108309,0.9035436029187133,0.7164443755491474
pageblocks-full,knn,gpmr_full,0.8737856254141291,0.7553009008656215,0.8782914464032687,0.6713164542570066
pageblocks-full,knn,within_class_mass_permutation,0.8996270143025291,0.8037942975353755,0.9025593633722215,0.6712480710546092
pageblocks-full,rf,gpmr_full,0.9363117661099494,0.8613609101201728,0.9380341239468395,0.7952060072530247
pageblocks-full,rf,within_class_mass_permutation,0.9444256130766759,0.8855283809583567,0.9454378771026737,0.7648095698508205
statlog-landsat,cart,gpmr_full,0.8201693579672832,0.6322590476190476,0.8280964790677391,0.8200586968222363
statlog-landsat,cart,within_class_mass_permutation,0.822372277952423,0.6207555555555555,0.8305208580272082,0.8245883994386872
statlog-landsat,knn,gpmr_full,0.8864783580089273,0.7548639193857121,0.8904200923797485,0.8707857352082712
statlog-landsat,knn,within_class_mass_permutation,0.8856451786781493,0.7805014953599693,0.8888028678444947,0.8728078512864744
statlog-landsat,rf,gpmr_full,0.8964165267284143,0.7463341196257752,0.9007818331764565,0.8938572535084538
statlog-landsat,rf,within_class_mass_permutation,0.8934978406564354,0.7193193650793651,0.8986874127657525,0.8956042803999722
thyroid,cart,gpmr_full,0.959026866465299,0.8992815060038154,0.961959469569446,0.9166000639157754
thyroid,cart,within_class_mass_permutation,0.9438595272373103,0.8604959226424269,0.9503441127694859,0.9142142553203131
thyroid,knn,gpmr_full,0.6055595355725331,0.4635964912280701,0.6420801693287946,0.4795159888370467
thyroid,knn,within_class_mass_permutation,0.6306788474493872,0.47647869674185467,0.6704407473908652,0.5247219564003266
